Diseases,Nutrients
Pulmonary hypertension,"Sodium, Fluids"
Pyoderma gangrenosum,"Sugar, Saturated fat"
Q fever,N/A
Quinsy,N/A
Rabies,N/A (Acute neurological emergency)
Raynaud's,"Caffeine, Alcohol"
Reactive arthritis,"Sugar, Saturated fat, Alcohol"
Bowel cancer (Rectal cancer),"Saturated fat, Sugar, Alcohol, Red meat (processed)"
Reflux in babies,N/A (Focus is on feed thickening and positioning)
Kidney cancer (Renal cancer),"Sodium, Potassium, Phosphorus"
Repetitive strain injury (RSI),N/A
Respiratory syncytial virus (RSV),N/A
Respiratory tract infections (RTIs),"Sugar, Alcohol"
Restless legs syndrome,"Caffeine, Alcohol"
Restricted growth (dwarfism),N/A
Detached retina,N/A
Retinal migraine,"Caffeine, Alcohol, Sodium, Tyramine"
Retinoblastoma,"Sugar, Saturated fat"
Rett syndrome,N/A (Focus is on caloric density and swallowing safety)
Reye's syndrome,N/A (Acute emergency; requires strict avoidance of Aspirin)
Rhesus disease,N/A
Rheumatic fever,"Sodium, Sugar, Saturated fat"
Rheumatoid arthritis,"Sugar, Saturated fat, Sodium, Alcohol"
Allergic rhinitis,"Sugar, Saturated fat, Alcohol"
Rickets and osteomalacia,"Sodium, Caffeine, Alcohol"
Ringworm,N/A
Rosacea,"Alcohol, Caffeine, Sugar, Capsaicin (spicy compounds)"
Roseola,N/A
Worms in humans (Roundworm),"Sugar, Carbohydrates"
Rubella (german measles),N/A
Salivary gland stones,"Sodium, Sugar, Caffeine"
Sarcoidosis,"Calcium, Vitamin D, Sodium"
Scabies,N/A
Scarlet fever,N/A
Scars,N/A
Schistosomiasis (bilharzia),"Alcohol, Saturated fat"
Schizophrenia,"Sugar, Caffeine, Alcohol"
Sciatica,"Sugar, Saturated fat, Sodium"
Scleroderma,"Sodium, Saturated fat, Caffeine, Sugar"
Scoliosis,N/A
Scurvy,N/A (Requires massive Vitamin C increase; no standard restrictions)
Seasonal affective disorder (SAD),"Sugar, Alcohol, Caffeine"
Febrile seizures,N/A
Selective mutism,N/A
Self-harm,N/A
Sepsis,N/A (Acute critical care emergency)
Septic arthritis,"Sugar, Saturated fat"
STIs (General),N/A
Shin splints,N/A
Shingles,"Sugar, Arginine"
Short-sightedness (myopia),N/A
Shoulder impingement,N/A
Sick building syndrome,N/A
Sickle cell disease,"Sodium, Alcohol, Saturated fat"
Silicosis,"Sodium, Carbohydrates (refined)"
Sinusitis (sinus infection),"Sugar, Alcohol, Dairy (Saturated fat/Lactose)"
Sjögren's syndrome,"Sugar, Caffeine, Alcohol, Sodium"
Skin abscess,"Sugar, Saturated fat"
Melanoma skin cancer,"Sugar, Saturated fat, Alcohol"
Non-melanoma skin cancer,"Sugar, Saturated fat"
Skin cyst,N/A
Skin picking disorder,"Caffeine, Sugar"
Skin tags,"Sugar, Carbohydrates (refined)"
Slapped cheek syndrome,N/A
Sleep apnoea,"Alcohol, Saturated fat, Sugar, Sodium"
Sleep paralysis,"Caffeine, Alcohol"
Sleepwalking,"Caffeine, Alcohol"
Slipped disc,N/A (Focus is on weight management and physiotherapy)
Snake bites,N/A (Acute medical emergency; Antivenom required)
Social anxiety (social phobia),"Caffeine, Alcohol, Sugar"
Soft tissue sarcoma,"Sugar, Saturated fat, Alcohol"
Actinic keratoses (solar keratoses),"Sugar, Saturated fat"
Spina bifida,N/A (Congenital structural defect)
Spinal muscular atrophy (SMA),N/A (Focus is on texture modification for swallowing safety)
Spondylolisthesis,N/A
Sprains and strains,"Alcohol, Sugar"
Squint,N/A
Stammering,N/A
Staph infection,"Sugar, Saturated fat"
Stevens-Johnson syndrome,"Sodium, Sugar (Focus on high-protein, high-calorie liquid nutrition)"
Stillbirth,N/A
Insect bites and stings,N/A
Stomach cancer,"Sodium, Alcohol, Saturated fat, Sugar"
Stomach ulcer,"Caffeine, Alcohol, Saturated fat, Sodium"
Strep A,N/A
Stretch marks,N/A
Stroke,"Sodium, Saturated fat, Trans fat, Sugar, Alcohol"
"Stuttering, see Stammering",N/A
Stye,N/A
Subarachnoid haemorrhage,"Sodium, Caffeine, Alcohol"
Subdural haematoma,Alcohol
Sunburn,"Alcohol, Caffeine"
Phlebitis (superficial thrombophlebitis),"Sodium, Saturated fat, Sugar"
Supraventricular tachycardia (SVT),"Caffeine, Alcohol, Sodium"
Problems swallowing pills,N/A
Heat rash (prickly heat),N/A
Excessive sweating (hyperhidrosis),"Caffeine, Alcohol, Sodium"
"Oedema (Swollen ankles, feet, legs, arms, hands)","Sodium, Fluids, Saturated fat"
Syphilis,N/A
Tailbone (coccyx) pain,N/A
Worms in humans (Tapeworm),"Sugar, Carbohydrates"
Tuberculosis (TB),"Alcohol, Sugar, Saturated fat"
Temporal arteritis,"Sodium, Sugar, Saturated fat"
Temporomandibular disorder (TMD),"Caffeine, Sugar"
Tendonitis,"Sugar, Saturated fat, Sodium"
Tennis elbow,"Sugar, Saturated fat"
Tension headaches,"Caffeine, Alcohol, Sugar"
Testicular cancer,"Saturated fat, Sugar, Alcohol"
Tetanus,N/A (Acute neurological emergency)
Thalassaemia,"Iron (if not iron-deficient), Vitamin C (with iron-rich meals)"
The 'male menopause',"Sugar, Saturated fat, Alcohol"
Thoracic outlet syndrome,N/A
Threadworms,"Sugar, Carbohydrates"
Thrombophilia,"Vitamin K (if on specific anticoagulants), Saturated fat"
Thrush in men and women,"Sugar, Carbohydrates (refined)"
Overactive thyroid (hyperthyroidism),"Iodine, Caffeine, Sugar"
Underactive thyroid (hypothyroidism),"Sugar, Saturated fat, Soy"
Thyroid cancer,"Iodine (during specific treatments), Sugar, Saturated fat"
Transient ischaemic attack (TIA),"Sodium, Saturated fat, Trans fat, Sugar, Alcohol"
Tick-borne encephalitis (TBE),N/A
Tics,"Caffeine, Sugar"
Tight foreskin (phimosis),N/A
Tinnitus,"Sodium, Caffeine, Alcohol"
Toe pain,"N/A (Unless caused by Gout, see Gout)"
Tongue-tie,N/A
Tonsillitis,"N/A (Focus is on soft, cool textures to soothe the throat)"
"Chipped, broken or cracked tooth",N/A
Tooth decay,"Sugar, Carbohydrates (refined)"
Knocked-out tooth,N/A
Tourette syndrome,"Caffeine, Sugar"
Toxic shock syndrome,N/A (Acute multi-organ emergency)
Toxocariasis,N/A
Toxoplasmosis,N/A
Transient ischaemic attack (TIA),"Sodium, Saturated fat, Trans fat, Sugar, Alcohol"
Trichomoniasis,N/A
Trichotillomania (hair pulling disorder),"Caffeine, Sugar"
Trigeminal neuralgia,"Caffeine, Sugar"
Trigger finger,N/A
Tuberculosis (TB),"Alcohol, Sugar, Saturated fat"
Turner syndrome,"Sodium, Sugar, Saturated fat"
Type 1 diabetes,"Sugar, Carbohydrates (specifically glycemic load), Saturated fat"
Type 2 diabetes,"Sugar, Carbohydrates (refined), Saturated fat, Trans fat"
Typhoid fever,"Fiber (during acute phase), Fat, Sugar"
Typhus,N/A
Ulcerative colitis,"Fiber,Dairy,Sugar,Processed meet"
Umbilical hernia,N/A
Underactive thyroid (hypothyroidism),"Glutten,Sugar,Alcohol,Caffeine"
Undescended testicles,N/A
Urethritis,"Caffeine,Sugar,Sodium"
Urinary incontinence,"Caffeine, Alcohol,Carbs"
Urinary tract infections (UTIs),"Caffeine,Sugar,Sodium,Carbs"
Uterine (womb) cancer,"Processed meet,Sugar,Staurated fat,Alcohol,Carbs"
Uveitis,"Sugar,Dairy,Alcohol,carbs,Sodium,Processed meet"
Vaginal cancer,"Alcohol,Processed meet ,Sugar,Carbs"
Vaginal pain (Vulvodynia),"Sugar,Saturated fat, Dairy"
Vaginismus,N/A
Vaginitis,"Sugar,Carbs,Saturated fat,Alcohol,Caffeine"
Varicose eczema,"Sodium,Carbs,Sugar,Saturated fat,Alcohol,Caffeine"
Varicose veins,"Sodium, Saturated fat, Sugar"
Vascular dementia,"Sodium, Saturated fat, Trans fat, Sugar, Alcohol"
Vasculitis,"Sodium, Sugar, Saturated fat"
Venous leg ulcer,"Sodium, Sugar, Saturated fat"
Verrucas (Warts and verrucas),N/A
Vertigo,"Sodium, Caffeine, Alcohol"
Vestibular neuritis,"Sodium, Caffeine, Alcohol"
Vision loss,"Sugar, Saturated fat (Focus on vascular eye health)"
Vitamin B12 or folate deficiency anaemia,Alcohol
Vitiligo,N/A
Vomiting bug (Norovirus),"Fat, Sugar, Fiber, Lactose"
Von Willebrand disease,N/A (Genetic bleeding disorder; focus is on avoiding Aspirin/NSAIDs)
Vulval cancer,"Alcohol, Sugar, Saturated fat"
Vulvodynia (vulval pain),"Oxalates (highly specific for some patients), Caffeine, Alcohol"
Warts and verrucas,N/A
Leptospirosis (Weil's disease),N/A
Whiplash,N/A (Focus is on physical therapy/anti-inflammatories)
Low white blood cell count,N/A (Focus is on food safety/pasteurization)
Herpetic whitlow (whitlow finger),N/A
Whooping cough,"N/A (Focus is on hydration and small, frequent meals)"
Wolff-Parkinson-White syndrome,"Caffeine, Alcohol, Sodium"
Womb (uterus) cancer,"Sugar, Saturated fat, Alcohol"
Women's health,"Caffeine, Alcohol, Sodium, Sugar, Saturated fat"
Worms in humans,"Sugar, Carbohydrates"
Yellow fever,"Alcohol, Saturated fat, Sodium"
Yaws,N/A
Yeast infection (Candidiasis),"Sugar, Carbohydrates (refined)"
Zika virus,N/A
Zollinger-Ellison syndrome,"Fat, Caffeine, Alcohol, Sodium"
